Search terms report
All time
Search term,Match type,Added/Excluded,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
kyoto nara itinerary,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
fushimi inari taisha kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
travel to kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto like a local,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto map with attractions,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
japan 11 day itinerary,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
saga toriimoto preserved street,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
日本 旅游,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto hidden,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto japan city tour,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
tenryu ji temple kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
about kyoto,Performance Max,None,0,4,0.00%,JPY,0,0,0.00%,0.00,0
kyoto city night,Performance Max,None,0,11,0.00%,JPY,0,0,0.00%,0.00,0
京都 美しい 風景,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto japon,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
宇治 一 日 遊,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
gion street kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
como fazer kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto japan in october,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
summer trip to kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
things to do in kyoto 2025,Performance Max,None,0,4,0.00%,JPY,0,0,0.00%,0.00,0
المعالم السياحية في اليابان,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
fushimi inari walking tour,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
เกีย ว โต โอ ซา ก้า,Performance Max,Excluded,2,2,100.00%,JPY,6,12,0.00%,0.00,0
place to visit in kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
day tour in kyoto itinerary,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto tourist attractions,Performance Max,None,0,10,0.00%,JPY,0,0,0.00%,0.00,0
4 days kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
tour jepang,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
arashiyama street food,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto prefecture,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
travelling kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
best temples in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
k y o t o,Performance Max,None,0,8,0.00%,JPY,0,0,0.00%,0.00,0
allan su kyoto,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
life in kyoto japan,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
japan kyoto things to do,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
เมือง เกีย ว โต ประเทศ ญี่ปุ่น,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
a day in arashiyama,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto quoi faire,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto 1 day trip,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
kyoto mosque,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto shrines and temples,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
fushimi inari kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
japan city walking tour,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto golden temple,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
wonders of japan,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
teramachi dori kyoto japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
tour in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto best shrines,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
momiji kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
japan things,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
chemin de la philosophie kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
spring in kyoto,Performance Max,None,0,4,0.00%,JPY,0,0,0.00%,0.00,0
kyoto japan winter,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
visiting kyoto for the first time,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto bike tour,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto 3 days,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
it's kyoto at all cost,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
日本 京都 景点,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
京都 秋天,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
เกีย ว โต สถาน ที่ ท่องเที่ยว,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
岚 山,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
교토 여행,Performance Max,Excluded,0,3,0.00%,JPY,0,0,0.00%,0.00,0
how to do kyoto combo,Performance Max,Excluded,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto localized,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
1 day kyoto itinerary,Performance Max,None,1,4,25.00%,JPY,15,15,0.00%,0.00,0
what to do in kyoto in september,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto food tour,Performance Max,None,0,13,0.00%,JPY,0,0,0.00%,0.00,0
kyoto snow,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
places to visit in uji,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto sehenswürdigkeiten,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto daily tours,Performance Max,None,1,1,100.00%,JPY,26,26,0.00%,0.00,0
kyoto temple in japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
qué hacer en kioto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
activities,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
1 week in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
京都,Performance Max,Excluded,0,11,0.00%,JPY,0,0,0.00%,0.00,0
kyoto in winter,Performance Max,None,0,6,0.00%,JPY,0,0,0.00%,0.00,0
wisata kyoto jepang,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto mùa đông,Performance Max,None,0,13,0.00%,JPY,0,0,0.00%,0.00,0
travelling japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
nanzenji temple kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kimono tea ceremony maikoya kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
where to go in kyoto during winter,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto fushimi inari,Performance Max,None,0,5,0.00%,JPY,0,0,0.00%,0.00,0
musim gugur di kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto เที่ยว,Performance Max,Excluded,1,1,100.00%,JPY,6,6,0.00%,0.00,0
kyoto day tour,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
japan travel tour,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
walking tour,Performance Max,None,0,21,0.00%,JPY,0,0,0.00%,0.00,0
京都 贵 船 神社,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
2 day kyoto itinerary,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
torii gates kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto zen,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto tour guide,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto gardens japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
japan kyoto city,Performance Max,None,0,14,0.00%,JPY,0,0,0.00%,0.00,0
best temple to visit in kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
arashiyama hanatouro,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
best place to visit in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto 2 days,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
kioto en 3 dias,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
hobonichi tour,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
hong minh travel,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
things to do around kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto day trip,Performance Max,None,0,10,0.00%,JPY,0,0,0.00%,0.00,0
talk to kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto walking 4k,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
driving in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
hanamikoji dori street,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
travel kyoto,Performance Max,None,0,6,0.00%,JPY,0,0,0.00%,0.00,0
trip to kyoto dr peacock,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
explore kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kameoka kyoto,Performance Max,None,0,7,0.00%,JPY,0,0,0.00%,0.00,0
kyoto tempat wisata,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto secret spots,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
trip kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
1 day in kyoto,Performance Max,None,0,6,0.00%,JPY,0,0,0.00%,0.00,0
japan walking tour,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
gion kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
куда сходить в киото,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
oyamazaki village the collector,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
mei time kyoto,Performance Max,Excluded,0,4,0.00%,JPY,0,0,0.00%,0.00,0
uji matcha farm tour,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto ghosts,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto trip vlog,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
tour guide kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto crowds,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
các điểm tham quan kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
京都 景点,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
arashiyama ghost tour,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
京都 旅行,Performance Max,None,0,9,0.00%,JPY,0,0,0.00%,0.00,0
kyoto attractions,Performance Max,None,0,14,0.00%,JPY,0,0,0.00%,0.00,0
samurai museum kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
fushimi inari shrine kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
清水寺 秋天,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
uji kyoto,Performance Max,None,3,53,5.66%,JPY,98,294,0.00%,0.00,0
go went go kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto humbled,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
inari fushimi shrine,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
famous places in kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
tomori kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto early december,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto tours,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto to do list,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
fushimi inari taisha shrine,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
visit kyoto japan,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
famous kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
japonya kyoto,Performance Max,Excluded,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto photo spots,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
matt's travel tips kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
things to do in japan for the first time,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
tour package in japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
京都 二 日 遊,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
guide to kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
كيوتو اليابان,Performance Max,Excluded,0,6,0.00%,JPY,0,0,0.00%,0.00,0
temple kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto explain,Performance Max,None,0,4,0.00%,JPY,0,0,0.00%,0.00,0
trip in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
비오는 교토,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
2 nights in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
must visit place in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
best time to go kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto must go,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto world,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto experience,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
que hacer en kioto japon,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
things to do at kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
things to see in kyoto japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
day trip,Performance Max,None,6,15,40.00%,JPY,64,381,0.00%,0.00,0
nightlife kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
philosopher's path kyoto september,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
โอ ซา ก้า เกีย ว โต,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
one day trip osaka kyoto,Performance Max,None,1,2,50.00%,JPY,791,791,0.00%,0.00,0
kyoto walking tours,Performance Max,None,1,1,100.00%,JPY,126,126,0.00%,0.00,0
kyoto must try,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto top things to do,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
day trip to kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto kankou,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
japan package tour,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto in september,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
京都 一 日,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
climbing fushimi inari,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto track,Performance Max,None,0,17,0.00%,JPY,0,0,0.00%,0.00,0
tourist attractions in japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
کیوتو ژاپن,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
pontos turisticos de kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
philosopher's path kyoto japan,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
uji kyoto winter,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto local tour,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto doing kyoto combo,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
4 days in kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kifune shrine kyoto,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
kyoto viewpoint,Performance Max,None,1,2,50.00%,JPY,44,44,0.00%,0.00,0
kyoto nighttime activities,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
piqtour,Performance Max,Excluded,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto tower,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
hop on hop off bus kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto garden japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto day trip from osaka,Performance Max,None,0,5,0.00%,JPY,0,0,0.00%,0.00,0
เกีย ว โต ที่ เที่ยว,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
arashiyama day trip,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
京都 四 日 三 夜,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
japan winter kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto hidden gems,Performance Max,None,0,23,0.00%,JPY,0,0,0.00%,0.00,0
fushimi inari shrine tour,Performance Max,None,1,1,100.00%,JPY,45,45,0.00%,0.00,0
explore japan,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
travel japan,Performance Max,None,0,7,0.00%,JPY,0,0,0.00%,0.00,0
travel in japan,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
uji kyoto day trip,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
tabieats kyoto,Performance Max,Excluded,0,7,0.00%,JPY,0,0,0.00%,0.00,0
京都 嵐山 自由 行,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto solo travel,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
things to see in kyoto,Performance Max,None,0,4,0.00%,JPY,0,0,0.00%,0.00,0
kyoto 1 hour,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto tourist spot,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
ruriko in tickets,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
top 10 kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto walk,Performance Max,None,14,118,11.86%,JPY,24,340,0.00%,0.00,0
where to go in kyoto,Performance Max,None,0,6,0.00%,JPY,0,0,0.00%,0.00,0
kyoto october,Performance Max,None,0,4,0.00%,JPY,0,0,0.00%,0.00,0
best places to stay in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto top places to visit,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto allan su,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto japan in may,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
교토 관광,Performance Max,Excluded,0,2,0.00%,JPY,0,0,0.00%,0.00,0
walking in kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto jm banquicio,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto local guide,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
red doors kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kioto japon,Performance Max,Excluded,0,8,0.00%,JPY,0,0,0.00%,0.00,0
itsukichaya arashiyama,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
quioto,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto things to do with kids,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
lugares para visitar en kioto japon,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto 1 day itinerary,Performance Max,None,0,4,0.00%,JPY,0,0,0.00%,0.00,0
kiyomizu temple kyoto japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto gaijin,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto places to visit,Performance Max,None,1,14,7.14%,JPY,72,72,0.00%,0.00,0
what to do kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
visiting kyoto japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
京都 神社 巡り,Performance Max,Excluded,0,2,0.00%,JPY,0,0,0.00%,0.00,0
japanese gardens kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
things to do near fushimi inari,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto da gezilecek yerler,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto geisha district,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
how many days kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
tour in japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
tourist in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
วัด เกีย ว โต,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto one day trip,Performance Max,None,0,6,0.00%,JPY,0,0,0.00%,0.00,0
kyoto side trips,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto for a day,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
walking tour takayama,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
gion district kyoto night,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto travel guide,Performance Max,None,0,39,0.00%,JPY,0,0,0.00%,0.00,0
kiyomizu dera,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
best kyoto gardens,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
must do in kyoto japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
map kyoto attractions,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto shrine temple,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
京都 旅游 攻略,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
เที่ยว โอ ซา ก้า เกีย ว โต,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
guide to kyoto japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
